LM_ID,ABBREVIATION,SYNONYMS
LMFA00000001,FA 40:7;O3,Acetylenic acids
LMFA00000002,,
LMFA00000003,,
LMFA00000004,,
LMFA00000005,,
LMFA00000006,,
LMFA00000007,,Decanohydroxamic acid; caprinohydroxamic acid; n-Decanohydroxamic acid
LMFA00000008,,"(9S,10S)-10-hydroxy-9-(phosphonooxy)stearic acid"
LMFA00000009,,
LMFA00000014,,
LMFA00000015,,DDM
LMFA00000016,,"Docosane-1,14-diyl bis(hydrogen sulfate)"
LMFA00000017,,
LMFA00000018,,
LMFA00000019,,
LMFA00000020,,
LMFA00000021,,
LMFA00000022,,
LMFA00000023,,"14-chlorotetracosane-1,15-diyl bis(hydrogen sulfate)"
LMFA00000024,,
LMFA00000025,,
LMFA00000026,,"(Z)-11,12,13,15,16-pentachloro-14-hydroxytetracos-1-enyl hydrogen sulfate"
LMFA00000031,,
LMFA00000034,,
LMFA00000035,,
LMFA00000039,,
LMFA00000043,,
LMFA00000051,,
LMFA00000027,,
LMFA00000028,,
LMFA00000029,,
LMFA00000030,,
LMFA00000032,,
LMFA00000033,,
LMFA00000036,,
LMFA00000037,,
LMFA00000038,,
LMFA00000040,,thio-DMAP
LMFA00000041,,thio-DMAB
LMFA00000042,,DMAB
LMFA00000044,,
LMFA00000045,,
LMFA00000046,,
LMFA00000047,,
LMFA00000048,,
LMFA00000049,,
LMFA00000050,,
LMFA01010001,FA 16:0,Cetylic acid; Palmitate; n-Hexadecanoic acid; C16:0; Aethalic acid 
LMFA01010002,FA 2:0,Vinegar acid; 10.Methanecarboxylic acid; acetate; C2:0
LMFA01010003,FA 3:0,Pseudoacetic acid; propionate;Methylacetic acid; Ethanecarboxylic acid; Ethylformic acid; C3:0
LMFA01010004,FA 4:0,Butanoate; C4:0; Ethylacetic acid
LMFA01010005,FA 5:0,C5:0; Valerianic acid
LMFA01010006,FA 6:0,Capronic acid; C6:0; Butylacetic acid; Pentylformic acid
LMFA01010007,FA 7:0,Enanthic acid; Enanthylic acid; Heptoic acid; C7:0; Enanthoic acid; Oenanthic acid
LMFA01010008,FA 8:0,Octylic acid; C8:0
LMFA01010009,FA 9:0,Nonylic acid; C9:0; Nonoic acid
LMFA01010010,FA 10:0,C10:0; Caprinic acid; Decoic acid; Decylic acid
LMFA01010011,FA 11:0,Hendecanoic acid; C11:0
LMFA01010012,FA 12:0,n-Dodecanoic acid; Dodecanoate; Dodecylic acid; C12:0; Laurostearic acid
LMFA01010013,FA 13:0,C13:0
LMFA01010014,FA 14:0,C14:0
LMFA01010015,FA 15:0,C15:0
LMFA01010017,FA 17:0,Heptadecylic acid; C17:0; Daturic acid; Daturinic acid; Margarinic acid
LMFA01010018,FA 18:0,Cetylacetic acid; Stearate; n-Octadecanoic acid; Octadecanoate; C18:0; Lactaric acid; Talgic acid; Bassinic acid; Stearophanic acid
LMFA01010019,FA 19:0,C19:0
LMFA01010020,FA 20:0,Icosanoic acid; Eicosanoate; Arachidate; n-Eicosanoic acid; C20:0; Arachic acid
LMFA01010021,FA 21:0,Henicosanoic acid; C21:0
LMFA01010022,FA 22:0,C22:0
LMFA01010023,FA 23:0,C23:0
LMFA01010024,FA 24:0,C24:0; Carnaubic acid
LMFA01010025,FA 25:0,C25:0
LMFA01010026,FA 26:0,C26:0; Ceric acid; Ceratinic acid; Cerinic acid; Cerylic acid
LMFA01010027,FA 27:0,C27:0
LMFA01010028,FA 28:0,C28:0
LMFA01010029,FA 29:0,C29:0
LMFA01010030,FA 30:0,C30:0; Myricic acid
LMFA01010031,FA 31:0,C31:0
LMFA01010032,FA 32:0,C32:0; Lacceric acid
LMFA01010033,FA 33:0,Ceromelissic acid; C33:0
LMFA01010034,FA 34:0,Geddic acid; C34:0; Ghedoic acid
LMFA01010035,FA 35:0,C35:0
LMFA01010036,FA 36:0,C36:0
LMFA01010037,FA 37:0,C37:0
LMFA01010038,FA 38:0,C38:0
LMFA01010039,FA 46:0,C46:0
LMFA01010043,,
LMFA01010044,,
LMFA01010045,,
LMFA01010046,,
LMFA01010047,,
LMFA01010048,,
LMFA01010049,,
LMFA01010050,,
LMFA01010051,,
LMFA01010052,,
LMFA01010053,FA 14:0,
LMFA01020001,FA 19:1,
LMFA01020002,FA 9:0,Isopelargonic acid; 6-methyl caprylic acid
LMFA01020003,FA 9:0,7-methyl caprylic acid
LMFA01020004,FA 12:0,10-methyl-hendecanoic acid; Isododecanoic acid
LMFA01020005,FA 13:0,(+)-10-methyl lauric acid
LMFA01020006,FA 13:0,11-methyllauric acid; Isoundecylic acid
LMFA01020007,FA 14:0,12-methyltridecylic acid
LMFA01020008,FA 15:0,12-methyl myristic acid; Anteisopentadecanoic acid
LMFA01020009,FA 15:0,13-methylmyristic acid; Isopentadecanoic acid; Subtilopentadecanoic acid
LMFA01020010,FA 16:0,14-methyl pentadecylic acid; Isohexadecanoic acid
LMFA01020011,FA 17:0,(+)-14-methyl palmitic acid; Anteisomargaric acid
LMFA01020012,FA 17:0,15-methyl palmitic acid; Isomargaric acid; Subtiloheptadecanoic acid; Methylpalmitic acid
LMFA01020013,FA 18:0,
LMFA01020014,FA 18:0,16-methyl margaric acid; Isooctadecanoic acid
LMFA01020015,FA 19:0,10-methylstearic acid; L-(+)-Tuberculostearic acid
LMFA01020016,FA 19:0,(+)-16-methyl stearic acid
LMFA01020017,FA 20:0,
LMFA01020018,FA 21:0,(+)-18-methyl-icosanoic acid; 18-MEA
LMFA01020019,FA 22:0,20-methyl-henicosanoic acid
LMFA01020020,FA 23:0,
LMFA01020021,FA 24:0,
LMFA01020022,FA 26:0,
LMFA01020023,FA 25:0,
LMFA01020024,FA 26:0,
LMFA01020025,FA 27:0,
LMFA01020026,FA 28:0,
LMFA01020027,FA 31:0,Mycocerosic acid; Phthianoic acid
LMFA01020028,FA 31:0,
LMFA01020029,FA 5:1,alpha-methyl isocrotonic acid
LMFA01020030,FA 5:1,"alpha,beta-dimethyl acrylic acid; 2-Methyl-2-butenoic acid; (E)-2-methyl-Crotonic acid"
LMFA01020031,FA 6:1,
LMFA01020032,FA 27:1,Mycolipenic acid
LMFA01020033,FA 21:0,
LMFA01020034,FA 13:0,
LMFA01020035,FA 14:0,
LMFA01020036,FA 14:0,
LMFA01020037,FA 15:0,
LMFA01020038,FA 16:0,
LMFA01020039,FA 16:0,
LMFA01020040,FA 17:0,
LMFA01020041,FA 17:0,
LMFA01020042,FA 18:0,
LMFA01020043,FA 18:0,
LMFA01020044,FA 18:0,
LMFA01020045,FA 18:0,
LMFA01020046,FA 18:0,
LMFA01020047,FA 19:0,
LMFA01020048,FA 20:0,
LMFA01020049,FA 20:0,
LMFA01020050,FA 20:0,
LMFA01020051,FA 20:0,
LMFA01020052,FA 20:0,
LMFA01020053,FA 12:0,
LMFA01020054,FA 12:0,
LMFA01020055,FA 12:0,
LMFA01020056,FA 12:0,
LMFA01020057,FA 12:0,
LMFA01020058,FA 12:0,
LMFA01020059,FA 12:0,
LMFA01020061,FA 13:0,
LMFA01020062,FA 13:0,
LMFA01020063,FA 13:0,
LMFA01020064,FA 13:0,
LMFA01020065,FA 13:0,
LMFA01020066,FA 13:0,
LMFA01020067,FA 13:0,
LMFA01020068,FA 13:0,
LMFA01020069,FA 14:0,
LMFA01020070,FA 14:0,
LMFA01020071,FA 4:0,
LMFA01020072,FA 5:0,
LMFA01020073,FA 5:0,
LMFA01020074,FA 6:0,
LMFA01020075,FA 6:0,
LMFA01020076,FA 6:0,Isohexanoic acid
LMFA01020077,FA 6:0,
LMFA01020078,FA 6:0,
LMFA01020079,FA 6:0,
LMFA01020080,FA 7:0,
LMFA01020081,FA 7:0,
LMFA01020082,FA 7:0,
LMFA01020083,FA 7:0,
LMFA01020084,FA 7:0,
LMFA01020085,FA 7:0,
LMFA01020086,FA 7:0,
LMFA01020087,FA 8:0,2-ethyl-hexoic acid
LMFA01020088,FA 9:0,
LMFA01020089,FA 10:0,
LMFA01020090,FA 11:0,
LMFA01020091,FA 15:0,
LMFA01020092,FA 17:0,
LMFA01020093,FA 18:0,
LMFA01020094,FA 18:0,
LMFA01020095,FA 19:0,
LMFA01020096,FA 19:0,
LMFA01020097,FA 5:1,
LMFA01020098,FA 6:1,
LMFA01020099,FA 6:1,
LMFA01020100,FA 7:1,
LMFA01020101,FA 7:1,
LMFA01020102,FA 8:1,
LMFA01020103,FA 9:1,
LMFA01020104,FA 10:1,Rhodinic acid
LMFA01020105,FA 10:1,
LMFA01020106,FA 12:1,
LMFA01020107,FA 13:1,
LMFA01020108,FA 14:1,
LMFA01020109,FA 15:1,
LMFA01020110,FA 5:1,
LMFA01020111,FA 5:1,
LMFA01020112,FA 6:1,
LMFA01020113,FA 6:1,
LMFA01020114,FA 6:1,
LMFA01020115,FA 6:1,
LMFA01020116,FA 6:1,
LMFA01020117,FA 7:1,
LMFA01020118,FA 7:1,
LMFA01020119,FA 7:1,
LMFA01020120,FA 7:1,
LMFA01020121,FA 7:1,
LMFA01020122,FA 7:1,
LMFA01020123,FA 7:1,
LMFA01020124,FA 8:1,
LMFA01020125,FA 8:1,
LMFA01020126,FA 8:1,
LMFA01020127,FA 9:1,
LMFA01020128,FA 10:1,
LMFA01020129,FA 10:1,
LMFA01020130,FA 11:1,
LMFA01020131,FA 11:1,
LMFA01020132,FA 14:1,
LMFA01020133,FA 16:1,
LMFA01020134,FA 22:1,
LMFA01020135,FA 21:1,
LMFA01020136,FA 21:1,
LMFA01020138,FA 19:1,
LMFA01020139,FA 19:1,
LMFA01020140,FA 16:1,
LMFA01020141,FA 16:1,
LMFA01020142,FA 16:1,
LMFA01020143,FA 13:1,2-decyl acrylic Acid
LMFA01020144,FA 7:0,
LMFA01020145,FA 7:0,
LMFA01020146,FA 7:0,
LMFA01020147,FA 8:0,
LMFA01020148,FA 8:0,
LMFA01020149,FA 8:0,
LMFA01020150,FA 8:0,
LMFA01020151,FA 8:0,
LMFA01020152,FA 9:0,
LMFA01020153,FA 9:0,
LMFA01020154,FA 10:0,
LMFA01020155,FA 11:0,
LMFA01020156,FA 12:0,
LMFA01020157,FA 13:0,
LMFA01020158,FA 14:0,
LMFA01020159,FA 14:0,
LMFA01020160,FA 14:0,
LMFA01020161,FA 14:0,
LMFA01020162,FA 15:0,
LMFA01020163,FA 15:0,
LMFA01020164,FA 16:0,
LMFA01020165,FA 16:0,
LMFA01020166,FA 16:0,
LMFA01020167,FA 16:0,
LMFA01020168,FA 16:0,
LMFA01020169,FA 16:0,
LMFA01020170,FA 16:0,
LMFA01020171,FA 16:0,
LMFA01020172,FA 16:0,
LMFA01020173,FA 16:0,
LMFA01020175,FA 18:0,
LMFA01020176,FA 19:0,
LMFA01020177,FA 19:0,
LMFA01020181,FA 5:0,Isovalerianic acid; Delphinic acid; Isopentanoic acid; Isopropylacetic acid
LMFA01020182,FA 11:0,
LMFA01020183,FA 11:0,
LMFA01020184,FA 11:0,
LMFA01020185,FA 11:0,
LMFA01020186,FA 11:0,
LMFA01020187,FA 11:0,
LMFA01020188,FA 11:0,
LMFA01020189,FA 14:0,
LMFA01020190,FA 14:0,Anteisotetradecanoic acid; Isotetradecanoic acid
LMFA01020191,FA 14:0,
LMFA01020192,FA 16:0,
LMFA01020193,FA 17:0,
LMFA01020194,FA 17:0,
LMFA01020195,FA 17:0,
LMFA01020196,FA 17:0,
LMFA01020197,FA 17:0,
LMFA01020198,FA 17:0,
LMFA01020199,FA 17:0,
LMFA01020200,FA 17:0,
LMFA01020201,FA 17:0,
LMFA01020202,FA 17:0,
LMFA01020203,FA 17:1,
LMFA01020204,FA 17:1,
LMFA01020205,FA 18:0,
LMFA01020206,FA 18:1,
LMFA01020207,FA 18:2,
LMFA01020208,FA 18:2,
LMFA01020209,FA 18:3,
LMFA01020210,FA 19:0,
LMFA01020211,FA 19:0,
LMFA01020212,FA 19:0,
LMFA01020213,FA 19:0,
LMFA01020214,FA 19:0,
LMFA01020215,FA 19:0,
LMFA01020216,FA 19:0,
LMFA01020217,FA 19:0,
LMFA01020218,FA 19:0,
LMFA01020219,FA 19:0,
LMFA01020220,FA 20:0,
LMFA01020221,FA 20:3,
LMFA01020222,FA 20:4,
LMFA01020223,FA 21:0,
LMFA01020224,FA 21:2,
LMFA01020225,FA 21:2,
LMFA01020226,FA 21:2,
LMFA01020227,FA 22:0,
LMFA01020228,FA 22:0,
LMFA01020229,FA 24:0,
LMFA01020230,FA 23:0,
LMFA01020231,FA 24:0,
LMFA01020232,FA 24:0,
LMFA01020233,FA 25:2,
LMFA01020234,FA 30:0,
LMFA01020242,FA 8:0,
LMFA01020243,FA 9:0,
LMFA01020244,FA 9:0,
LMFA01020245,FA 9:0,
LMFA01020246,FA 10:0,
LMFA01020247,FA 10:0,
LMFA01020248,FA 15:0,"Dodecanoic acid, 3,7,11-trimethyl-; 3,7,11-Trimethyldodecanoic acid; Farnesanoic acid; Farnesylic acid, hexahydro-"
LMFA01020249,FA 16:0,"Tridecanoic acid, 4,8,12-trimethyl-; 4,8,12-Trimethyltridecanoic acid"
LMFA01020253,FA 22:2,"5,8-Eicosadienoic acid, 7,7-dimethyl-, (Z,Z)-"
LMFA01020254,FA 22:3,"5,8,11-Eicosatrienoic acid, 7,7-dimethyl-, (Z,Z,Z)-"
LMFA01020255,FA 22:3,"5,8,11-Eicosatrienoic acid, 10,10-dimethyl-, (Z,Z,Z)-"
LMFA01020256,FA 27:1,"2-Pentacosenoic acid, 2,4-dimethyl-"
LMFA01020261,FA 11:0,"Decanoic acid, 5-methyl-, (R)-"
LMFA01020262,FA 13:0,"Dodecanoic acid, 2-methyl-, (R)-"
LMFA01020263,FA 19:1,"Octadecanoic acid, 10-methylene-; 10-Undecenoic acid, 10-octyl-; 10-Methylenestearic acid"
LMFA01020264,FA 27:1,"2-Hexacosenoic acid, 2-methyl-"
LMFA01020265,FA 17:0,"Hexadecanoic acid, 4-methyl-, (R)-"
LMFA01020266,FA 17:1,"9-Hexadecenoic acid, 10-methyl-"
LMFA01020267,FA 17:1,"8-Hexadecenoic acid, 14-methyl-, [R-(Z)]-"
LMFA01020268,FA 17:1,"8-Hexadecenoic acid, 14-methyl-, [S-(Z)]-"
LMFA01020270,FA 9:0,d-6-Methyloctanoic acid
LMFA01020272,FA 14:0,"Decanoic acid, 2,4,6,8-tetramethyl-"
LMFA01020273,FA 38:0,"Tetratriacontanoic acid, 2,4,6,8-tetramethyl-"
LMFA01020274,FA 5:1;O,
LMFA01020275,FA 6:1;O,
LMFA01020276,FA 6:1;O,
LMFA01020277,FA 5:1;O2,
LMFA01020278,FA 6:1;O2,
LMFA01020279,FA 16:3;O,"(2E,6E)-10,11-Epoxy-3,7,11-trimethyltridecadienoic acid"
LMFA01020280,FA 6:1;O,(R)-3-Methyl-2-oxopentanoic acid
LMFA01020281,FA 17:0,
LMFA01020283,FA 8:0,
LMFA01020285,FA 14:0,
LMFA01020288,FA 11:0,
LMFA01020289,FA 16:0,Neohexadecanoic acid
LMFA01020290,FA 22:6;O2,
LMFA01020291,FA 8:0,
LMFA01020292,FA 18:0,
LMFA01020293,FA 24:0,
LMFA01020294,FA 25:0,
LMFA01020295,FA 26:0,
LMFA01020296,FA 31:0,
LMFA01020297,FA 33:0,
LMFA01020298,FA 34:0,
LMFA01020299,FA 36:0,
LMFA01020300,FA 37:0,
LMFA01020301,FA 39:0,
LMFA01020302,FA 40:0,
LMFA01020303,FA 42:0,
LMFA01020304,FA 43:0,
LMFA01020305,FA 45:0,
LMFA01020306,FA 46:0,
LMFA01020307,FA 48:0,
LMFA01020308,FA 24:0,
LMFA01020309,FA 25:0,
LMFA01020310,FA 26:0,
LMFA01020311,FA 27:0,
LMFA01020312,FA 28:0,
LMFA01020313,FA 29:0,
LMFA01020314,FA 30:0,
LMFA01020315,FA 31:0,
LMFA01020316,FA 32:0,
LMFA01020317,FA 33:0,
LMFA01020318,FA 34:0,
LMFA01020319,FA 35:0,
LMFA01020320,FA 31:0;O,
LMFA01020321,FA 33:0;O,
LMFA01020322,FA 34:0;O,
LMFA01020323,FA 36:0;O,
LMFA01020324,FA 37:0;O,
LMFA01020325,FA 39:0;O,
LMFA01020326,FA 40:0;O,
LMFA01020327,FA 42:0;O,
LMFA01020328,FA 43:0;O,
LMFA01020329,FA 45:0;O,
LMFA01020330,FA 46:0;O,
LMFA01020331,FA 48:0;O,
LMFA01020332,FA 24:0;O,
LMFA01020333,FA 26:0;O,
LMFA01020334,FA 27:0;O,
LMFA01020335,FA 28:0;O,
LMFA01020336,FA 25:1,
LMFA01020337,FA 27:1,Micolipodienoic acid
LMFA01020338,FA 28:1,
LMFA01020339,FA 29:1,
LMFA01020340,FA 19:1,
LMFA01020341,FA 37:6,
LMFA01020342,FA 20:0,
LMFA01020343,FA 26:0,
LMFA01020345,FA 9:0,
LMFA01020346,FA 11:0,
LMFA01020347,FA 13:0,
LMFA01020348,FA 15:0,
LMFA01020349,FA 25:0,
LMFA01020350,FA 25:0,
LMFA01020351,FA 26:0,
LMFA01020352,FA 26:0,
LMFA01020353,FA 26:0,
LMFA01020355,FA 16:0,
LMFA01020356,FA 21:0,
LMFA01020357,FA 26:2,
LMFA01020358,FA 26:2,
LMFA01020359,FA 27:2,
LMFA01020360,FA 27:2,
LMFA01020361,FA 28:2,
LMFA01020362,FA 28:2,
LMFA01020363,FA 27:2,
LMFA01020364,FA 28:2,
LMFA01020365,FA 29:2,
LMFA01020366,FA 30:2,
LMFA01020367,FA 20:4,
LMFA01020368,FA 17:4,
LMFA01020369,FA 18:2,
LMFA01020370,FA 19:4,
LMFA01020371,FA 19:6,
LMFA01020372,FA 18:1,
LMFA01020373,FA 18:1,
LMFA01020374,FA 18:1,
LMFA01020375,FA 29:2,
LMFA01020376,FA 30:2,
LMFA01020377,FA 18:2,
LMFA01020378,FA 19:2,
LMFA01020379,FA 19:2,
LMFA01020381,FA 20:4,
LMFA01020382,FA 17:1,
LMFA01020383,FA 17:1,
LMFA01020384,FA 17:1,
LMFA01020385,FA 17:1,
LMFA01020386,FA 19:1,
LMFA01020387,FA 19:1,
LMFA01020388,FA 14:0,"3,5-Dimethyldodecanoic acid"
LMFA01020389,FA 15:0,
LMFA01020390,FA 17:0,
LMFA01020391,FA 8:0,
LMFA01020392,FA 8:1,
LMFA01020393,FA 7:3;O4,
LMFA01020394,FA 6:2;O2,
LMFA01020395,,
LMFA01020396,FA 19:0,10-methyl-stearic acid
LMFA01020397,FA 29:1;O2,Argemonic acid
LMFA01020398,FA 9:2,"(2E,4E,-6S)-6-methyl-octa-2,4-di-enoic acid 18:2"
LMFA01020399,FA 9:2;O,"(2E,4E,6S)-8-hydroxy-6-methyl-octa-2,4-dienoic acid"
LMFA01020400,FA 25:2,Farnesenic acid; Farnesolic acid; Farnesylic acid
LMFA01020401,FA 6:0;O,"2-OH,3-Me 5:0; (2S,3S)-2-Hydroxy-3-methylpentanoic acid"
LMFA01020402,FA 8:1;O,
LMFA01020404,FA 32:1;O2,
LMFA01020405,FA 19:3,"16-methyl-octadeca-5,9,12-trienoic acid, (Z,Z,Z)-; anteiso-5c,9c,12c-nonadecatrienoic acid; 16-methyl-octadeca-5c,9c,12c-trienoic acid"
LMFA01020406,FA 17:1,"11-Hexadecenoic acid, 15-methyl-"
LMFA01020407,FA 19:0;O,
LMFA01020408,FA 10:0,Methylpelargonic acid
LMFA01020409,FA 17:1,
LMFA01020410,FA 17:1,
LMFA01020411,FA 19:1,
LMFA01020412,FA 19:1,
LMFA01020413,FA 13:3;O,"4-methyl-11-hydroxy-2E,4E,6E-dodecatrienoic acid"
LMFA01020414,FA 31:2,
LMFA01020415,FA 20:0,
LMFA01020416,FA 18:2,
LMFA01020417,FA 19:0,
LMFA01020418,FA 17:0,
LMFA01020419,FA 19:0,"17:0 (10,16-diMe)"
LMFA01020420,FA 21:0,"19:0 (12,18-diMe)"
LMFA01020421,FA 18:0,"12,15-diMe-16:0"
LMFA01020422,FA 18:0,"10,15-diMe-16:0"
LMFA01020423,FA 20:0,"12,17-diMe-18:0"
LMFA01020424,FA 22:0,"14,19-diMe-20:0"
LMFA01020425,FA 13:1,(2Z)-11-Methyl-2-dodecenoic acid
LMFA01020426,FA 20:1,
LMFA01020427,FA 18:2,
LMFA01020428,FA 20:1,
LMFA01020429,FA 16:0,
LMFA01020430,FA 12:0,
LMFA01020431,FA 14:0,
LMFA01020432,FA 14:0,
LMFA01020433,FA 16:0,
LMFA01020434,FA 16:0,
LMFA01020435,FA 16:0,
LMFA01020436,,
LMFA01020437,,
LMFA01020438,FA 18:1,isocis-8-oleic acid
LMFA01020439,FA 18:1,isocis-6-oleic acid
LMFA01020440,FA 16:1,
LMFA01020441,,
LMFA01020442,FA 13:2,
LMFA01020443,FA 10:2;O,
LMFA01020444,FA 13:3;O2,
LMFA01030001,FA 20:4,"5Z,8Z,11Z,14Z-icosatetraenoic acid; AA; Arachidonate; cis-5,8,11,14-Eicosatetraenoic acid; (all-Z)-5,8,11,14-Eicosatetraenoic acid; all-cis-5,8,11,14-Eicosatetraenoic acid"
LMFA01030002,FA 18:1,9-octadecylenic acid; cis-9-octadecenoic acid; cis-Oleic acid; cis-Oleate; Oleate; Elaic acid; Elaidoic acid; C18:1n-9; Rapinic acid
LMFA01030003,,
LMFA01030004,FA 4:1,C4:1n-1
LMFA01030005,FA 5:1,C5:1n-3
LMFA01030006,FA 5:1,beta-pentenoic acid; C5:1n-2
LMFA01030007,FA 5:1,C5:1n-1
LMFA01030008,FA 6:1,beta-propyl acrylic acid; C6:1n-4
LMFA01030009,FA 6:1,C6:1n-3
LMFA01030010,FA 6:1,C6:1n-2
LMFA01030011,FA 6:1,C6:1n-1
LMFA01030012,FA 7:1,C7:1n-5
LMFA01030013,FA 7:1,C7:1n-4
LMFA01030014,FA 7:1,C7:1n-3
LMFA01030015,FA 7:1,C7:1n-2
LMFA01030016,FA 7:1,C7:1n-1
LMFA01030017,FA 8:1,3-n-amyl acrylic acid; cis-2-octenoic acid; C8:1n-6
LMFA01030018,FA 8:1,trans-2-octenoic acid; C8:1n-6
LMFA01030019,FA 8:1,cis-3-octenoic acid; C8:1n-5
LMFA01030020,FA 8:1,trans-3-octenoic acid; C8:1n-5
LMFA01030021,FA 8:1,cis-4-octenoic acid; C8:1n-4
LMFA01030022,FA 8:1,cis-5-octenoic acid; C8:1n-3
LMFA01030023,FA 8:1,trans-5-octenoic acid; C8:1n-3
LMFA01030024,FA 8:1,cis-6-octenoic acid; C8:1n-2
LMFA01030025,FA 8:1,trans-6-octenoic acid; C8:1n-2
LMFA01030026,FA 9:1,cis-2-nonenoic acid; C9:1n-7
LMFA01030027,FA 9:1,3-nonylenic acid; C9:1n-6
LMFA01030028,FA 9:1,C9:1n-1
LMFA01030029,FA 10:1,C10:1n-8
LMFA01030030,FA 10:1,C10:1n-7
LMFA01030031,FA 10:1,C10:1n-6
LMFA01030032,FA 10:1,C10:1n-2
LMFA01030033,FA 10:1,9-decylenic acid; C10:1n-1
LMFA01030034,FA 11:1,C11:1n-9
LMFA01030035,FA 11:1,9-undecylenic acid; C11:1n-2
LMFA01030036,FA 11:1,10-undecylenic acid; C11:1n-1; 10-hendecenoic acid
LMFA01030037,FA 12:1,C12:1n-10
LMFA01030038,FA 12:1,C12:1n-8
LMFA01030039,FA 12:1,C12:1n-6
LMFA01030040,FA 12:1,C12:1n-5
LMFA01030041,FA 12:1,C12:1n-4
LMFA01030042,FA 12:1,C12:1n-2
LMFA01030043,FA 12:1,C12:1n-1
LMFA01030044,FA 13:1,C13:1n-11
LMFA01030045,FA 13:1,C13:1n-2
LMFA01030046,FA 13:1,C13:1n-1
LMFA01030047,FA 14:1,C14:1n-12
LMFA01030048,FA 14:1,C14:1n-10
LMFA01030050,FA 14:1,cis-8-tetradecenoic acid; C14:1n-6
LMFA01030051,FA 14:1,cis-9-tetradecenoic acid; C14:1n-5
LMFA01030052,FA 15:1,C15:1n-13
LMFA01030053,FA 15:1,C15:1n-1
LMFA01030054,FA 16:1,2-palmitoleic acid; C16:1n-14
LMFA01030055,FA 16:1,C16:1n-9
LMFA01030056,FA 16:1,cis-9-hexadecenoic acid; 9Z-palmitoleic acid; C16:1n-7; Physetoleic acid; Zoomaric acid; Palmitoleic acid; cis-Palmitoleic acid; Oleopalmitic acid; Zoomeric acid
LMFA01030057,FA 16:1,trans-9-hexadecenoic acid; C16:1n-7; palmitelaidic acid
LMFA01030058,FA 16:1,cis-10-hexadecenoic acid; C16:1n-6
LMFA01030059,FA 17:1,C17:1n-15
LMFA01030060,FA 17:1,cis-9-heptadecenoic acid; C17:1n-8; 9-heptadecylenic acid
LMFA01030061,FA 18:1,cis-2-octadecenoic acid; C18:1n-16
LMFA01030062,FA 18:1,trans-2-octadecenoic acid; C18:1n-16
LMFA01030063,FA 18:1,C18:1n-15
LMFA01030064,FA 18:1,C18:1n-14
LMFA01030065,FA 18:1,trans-5-octadecenoic acid; C18:1n-13; 5E-octadecylenic acid
LMFA01030066,FA 18:1,6-octadecylenic acid; Petroselic acid; 5-heptadecylene-1-carboxylic acid; delta-5-octadecylenic acid; cis-6-octadecenoic acid; C18:1n-12
LMFA01030067,FA 18:1,trans-6-octadecenoic acid; C18:1n-12
LMFA01030068,FA 18:1,cis-7-octadecenoic acid; C18:1n-11
LMFA01030069,FA 18:1,trans-7-octadecenoic acid; C18:1n-11
LMFA01030070,FA 18:1,cis-8-octadecenoic acid; C18:1n-10
LMFA01030071,FA 18:1,trans-8-octadecenoic acid; C18:1n-10
LMFA01030073,FA 18:1,trans-9-octadecenoic acid; C18:1n-9; Elaidinic acid; trans-Elaidic acid; trans-Oleic acid
LMFA01030074,FA 18:1,cis-10-octadecenoic acid; C18:1n-8; Isooleic acid
LMFA01030075,FA 18:1,trans-10-octadecenoic acid; C18:1n-8
LMFA01030076,FA 18:1,cis-11-octadecenoic acid; C18:1n-7; Asclepic acid
LMFA01030077,FA 18:1,trans-11-octadecenoic acid; C18:1n-7
LMFA01030078,FA 18:1,cis-12-octadecenoic acid; C18:1n-6
LMFA01030079,FA 18:1,trans-12-octadecenoic acid; C18:1n-6
LMFA01030080,FA 18:1,trans-15-octadecenoic acid; C18:1n-3
LMFA01030081,FA 18:1,trans-16-octadecenoic acid; C18:1n-2
LMFA01030082,FA 20:1,cis-17-octadecenoic acid; C18:1n-1
LMFA01030083,FA 19:1,C19:1n-17
LMFA01030084,FA 20:1,cis-9-eicosenoic acid; cis-9-icosenoic acid; C20:1n-11; Gadoleic acid; Gondoleic acid; 9Z-eicosenic acid
LMFA01030085,FA 20:1,cis-11-eicosenoic acid; cis-11-icosenoic acid; C20:1n-9
LMFA01030086,FA 20:1,trans-11-eicosenoic acid; trans-11-icosenoic acid; C20:1n-9
LMFA01030087,FA 20:1,cis-14-eicosenoic acid; cis-14-icosenoic acid; C20:1n-6
LMFA01030088,FA 22:1,cis-11-docosenoic acid; C22:1n-11
LMFA01030089,FA 22:1,cis-13-docosenoic acid; C22:1n-9
LMFA01030090,FA 22:1,trans-13-docosenoic acid; C22:1n-9; Brassidic acid
LMFA01030091,FA 23:1,C23:1n-1
LMFA01030092,FA 24:1,cis-15-tetracosenoic acid; cis-selacholeic acid; C24:1n-9; Selacholeic acid; Nevonic acid
LMFA01030093,FA 24:1,trans-15-tetracosenoic acid; C24:1n-9
LMFA01030094,FA 26:1,C26:1n-17
LMFA01030095,FA 26:1,cis-17-hexacosenoic acid; C26:1n-9
LMFA01030096,FA 28:1,cis-19-octacosenoic acid; C28:1n-9
LMFA01030097,FA 30:1,cis-21-triacontenoic acid; C30:1n-9; Lumepueic acid
LMFA01030098,FA 32:1,cis-23-dotriacontenoic acid; C32:1n-9
LMFA01030099,FA 5:2,"C5:2n-1,3"
