LM_ID,ABBREVIATION,SYNONYMS
LMGL03016347,TG 61:3,TG(61:3); TG(18:2_21:0_22:1)
LMGL03016348,TG 62:3,TG(62:3); TG(18:2_22:0_22:1)
LMGL03016349,TG 62:5,TG(62:5); TG(18:2_22:1_22:2)
LMGL03016350,TG 62:6,TG(62:6); TG(18:2_22:1_22:3)
LMGL03016351,TG 62:7,TG(62:7); TG(18:2_22:1_22:4)
LMGL03016352,TG 62:8,TG(62:8); TG(18:2_22:1_22:5)
LMGL03016353,TG 62:9,TG(62:9); TG(18:2_22:1_22:6)
LMGL03016354,TG 62:7,TG(62:7); TG(18:2_22:2_22:3)
LMGL03016355,TG 54:10,TG(54:10); TG(18:3_18:3_18:4)
LMGL03016356,TG 55:6,TG(55:6); TG(18:3_18:3_19:0)
LMGL03016357,TG 55:7,TG(55:7); TG(18:3_18:3_19:1)
LMGL03016358,TG 56:6,TG(56:6); TG(18:3_18:3_20:0)
LMGL03016359,TG 56:7,TG(56:7); TG(18:3_18:3_20:1)
LMGL03016360,TG 56:8,TG(56:8); TG(18:3_18:3_20:2)
LMGL03016361,TG 56:9,TG(56:9); TG(18:3_18:3_20:3)
LMGL03016362,TG 56:10,TG(56:10); TG(18:3_18:3_20:4)
LMGL03016363,TG 56:11,TG(56:11); TG(18:3_18:3_20:5)
LMGL03016364,TG 57:6,TG(57:6); TG(18:3_18:3_21:0)
LMGL03016365,TG 58:6,TG(58:6); TG(18:3_18:3_22:0)
LMGL03016366,TG 58:7,TG(58:7); TG(18:3_18:3_22:1)
LMGL03016367,TG 58:8,TG(58:8); TG(18:3_18:3_22:2)
LMGL03016368,TG 58:9,TG(58:9); TG(18:3_18:3_22:3)
LMGL03016369,TG 58:10,TG(58:10); TG(18:3_18:3_22:4)
LMGL03016370,TG 58:11,TG(58:11); TG(18:3_18:3_22:5)
LMGL03016371,TG 58:12,TG(58:12); TG(18:3_18:3_22:6)
LMGL03016372,TG 55:7,TG(55:7); TG(18:3_18:4_19:0)
LMGL03016373,TG 55:8,TG(55:8); TG(18:3_18:4_19:1)
LMGL03016374,TG 56:7,TG(56:7); TG(18:3_18:4_20:0)
LMGL03016375,TG 56:8,TG(56:8); TG(18:3_18:4_20:1)
LMGL03016376,TG 56:9,TG(56:9); TG(18:3_18:4_20:2)
LMGL03016377,TG 56:10,TG(56:10); TG(18:3_18:4_20:3)
LMGL03016378,TG 56:11,TG(56:11); TG(18:3_18:4_20:4)
LMGL03016379,TG 56:12,TG(56:12); TG(18:3_18:4_20:5)
LMGL03016380,TG 57:7,TG(57:7); TG(18:3_18:4_21:0)
LMGL03016381,TG 58:7,TG(58:7); TG(18:3_18:4_22:0)
LMGL03016382,TG 58:8,TG(58:8); TG(18:3_18:4_22:1)
LMGL03016383,TG 58:9,TG(58:9); TG(18:3_18:4_22:2)
LMGL03016384,TG 58:10,TG(58:10); TG(18:3_18:4_22:3)
LMGL03016385,TG 58:11,TG(58:11); TG(18:3_18:4_22:4)
LMGL03016386,TG 58:12,TG(58:12); TG(18:3_18:4_22:5)
LMGL03016387,TG 58:13,TG(58:13); TG(18:3_18:4_22:6)
LMGL03016388,TG 56:4,TG(56:4); TG(18:3_19:0_19:1)
LMGL03016389,TG 57:3,TG(57:3); TG(18:3_19:0_20:0)
LMGL03016390,TG 57:4,TG(57:4); TG(18:3_19:0_20:1)
LMGL03016391,TG 57:5,TG(57:5); TG(18:3_19:0_20:2)
LMGL03016392,TG 57:6,TG(57:6); TG(18:3_19:0_20:3)
LMGL03016393,TG 57:7,TG(57:7); TG(18:3_19:0_20:4)
LMGL03016394,TG 57:8,TG(57:8); TG(18:3_19:0_20:5)
LMGL03016395,TG 58:3,TG(58:3); TG(18:3_19:0_21:0)
LMGL03016396,TG 59:3,TG(59:3); TG(18:3_19:0_22:0)
LMGL03016397,TG 59:4,TG(59:4); TG(18:3_19:0_22:1)
LMGL03016398,TG 59:5,TG(59:5); TG(18:3_19:0_22:2)
LMGL03016399,TG 59:6,TG(59:6); TG(18:3_19:0_22:3)
LMGL03016400,TG 59:7,TG(59:7); TG(18:3_19:0_22:4)
LMGL03016401,TG 59:8,TG(59:8); TG(18:3_19:0_22:5)
LMGL03016402,TG 59:9,TG(59:9); TG(18:3_19:0_22:6)
LMGL03016403,TG 57:4,TG(57:4); TG(18:3_19:1_20:0)
LMGL03016404,TG 57:5,TG(57:5); TG(18:3_19:1_20:1)
LMGL03016405,TG 57:6,TG(57:6); TG(18:3_19:1_20:2)
LMGL03016406,TG 57:7,TG(57:7); TG(18:3_19:1_20:3)
LMGL03016407,TG 57:8,TG(57:8); TG(18:3_19:1_20:4)
LMGL03016408,TG 57:9,TG(57:9); TG(18:3_19:1_20:5)
LMGL03016409,TG 58:4,TG(58:4); TG(18:3_19:1_21:0)
LMGL03016410,TG 59:4,TG(59:4); TG(18:3_19:1_22:0)
LMGL03016411,TG 59:5,TG(59:5); TG(18:3_19:1_22:1)
LMGL03016412,TG 59:6,TG(59:6); TG(18:3_19:1_22:2)
LMGL03016413,TG 59:7,TG(59:7); TG(18:3_19:1_22:3)
LMGL03016414,TG 59:8,TG(59:8); TG(18:3_19:1_22:4)
LMGL03016415,TG 59:9,TG(59:9); TG(18:3_19:1_22:5)
LMGL03016416,TG 59:10,TG(59:10); TG(18:3_19:1_22:6)
LMGL03016417,TG 58:4,TG(58:4); TG(18:3_20:0_20:1)
LMGL03016418,TG 58:5,TG(58:5); TG(18:3_20:0_20:2)
LMGL03016419,TG 58:6,TG(58:6); TG(18:3_20:0_20:3)
LMGL03016420,TG 58:7,TG(58:7); TG(18:3_20:0_20:4)
LMGL03016421,TG 58:8,TG(58:8); TG(18:3_20:0_20:5)
LMGL03016422,TG 59:3,TG(59:3); TG(18:3_20:0_21:0)
LMGL03016423,TG 60:3,TG(60:3); TG(18:3_20:0_22:0)
LMGL03016424,TG 60:4,TG(60:4); TG(18:3_20:0_22:1)
LMGL03016425,TG 60:5,TG(60:5); TG(18:3_20:0_22:2)
LMGL03016426,TG 60:6,TG(60:6); TG(18:3_20:0_22:3)
LMGL03016427,TG 60:7,TG(60:7); TG(18:3_20:0_22:4)
LMGL03016428,TG 60:8,TG(60:8); TG(18:3_20:0_22:5)
LMGL03016429,TG 60:9,TG(60:9); TG(18:3_20:0_22:6)
LMGL03016430,TG 58:6,TG(58:6); TG(18:3_20:1_20:2)
LMGL03016431,TG 58:7,TG(58:7); TG(18:3_20:1_20:3)
LMGL03016432,TG 58:8,TG(58:8); TG(18:3_20:1_20:4)
LMGL03016433,TG 58:9,TG(58:9); TG(18:3_20:1_20:5)
LMGL03016434,TG 59:4,TG(59:4); TG(18:3_20:1_21:0)
LMGL03016435,TG 60:4,TG(60:4); TG(18:3_20:1_22:0)
LMGL03016436,TG 60:5,TG(60:5); TG(18:3_20:1_22:1)
LMGL03016437,TG 60:6,TG(60:6); TG(18:3_20:1_22:2)
LMGL03016438,TG 60:7,TG(60:7); TG(18:3_20:1_22:3)
LMGL03016439,TG 60:8,TG(60:8); TG(18:3_20:1_22:4)
LMGL03016440,TG 60:9,TG(60:9); TG(18:3_20:1_22:5)
LMGL03016441,TG 60:10,TG(60:10); TG(18:3_20:1_22:6)
LMGL03016442,TG 58:8,TG(58:8); TG(18:3_20:2_20:3)
LMGL03016443,TG 58:9,TG(58:9); TG(18:3_20:2_20:4)
LMGL03016444,TG 58:10,TG(58:10); TG(18:3_20:2_20:5)
